depth,N_PDCPT,N_SPT_okada
0.1,5,2.6
0.2,41,13.4
0.3,42,13.7
0.4,99,30.8
0.5,57,18.2
0.6,24,8.3
0.7,28,9.5
0.8,26,8.9
0.9,19,6.8
1,17,6.2
1.1,24,8.3
1.2,22,7.7
1.3,15,5.6
1.4,12,4.7
1.5,18,6.5
1.6,16,5.9
1.7,19,6.8
1.8,18,6.5
1.9,10,4.1
2,16,5.9
2.1,23,8.0
2.2,20,7.1
2.3,20,7.1
2.4,9,3.8
2.5,12,4.7
2.6,17,6.2
2.7,12,4.7
2.8,10,4.1
2.9,8,3.5
3,11,4.4
3.1,14,5.3
3.2,14,5.3
3.3,9,3.8
3.4,9,3.8
3.5,13,5.0
3.6,11,4.4
3.7,14,5.3
3.8,12,4.7
3.9,10,4.1
4,15,5.6
4.1,15,5.6
4.2,14,5.3
4.3,17,6.2
4.4,24,8.3
4.5,26,8.9
4.6,23,8.0
4.7,22,7.7
4.8,17,6.2
4.9,14,5.3
5,17,6.2
5.1,21,7.4
5.2,26,8.9
5.3,25,8.6
5.4,25,8.6
5.5,21,7.4
5.6,25,8.6
5.7,57,18.2
5.8,58,18.5
